ID,VAR00,VAR00.1,VAR01,VAR02,VAR02_1,VAR03,VAR04,VAR05,VAR06,VAR07,VAR08,VAR09_1,VAR09_2,VAR09_3,VAR09_4,VAR09_5,VAR09_6,VAR09_7,VAR09_8,VAR09_9,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35
119,IRA –M-Goe 1909,DE_37,Germany,4,Iran,0,43,1,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,rejected,18,1,2,999,1,999,0,1
121,PLMIUk16,PLM_16,Poland,4,Georgia,0,38,2,1,3,2,2,2,2,2,2,2,2,2,1,3,999,1,rejected,24,1,0,18,0,1,1,1
122,PLMIUk20,PLM_20,Poland,4,Ukraine,1,39,1,2,3,5,2,2,2,2,2,2,2,2,1,3,999,0,rejected,999,1,1,999,999,999,999,1
123,PlMICh14,PLM_14,Poland,4,Chechnya,0,32,2,1,2,2,2,2,2,2,2,2,1,2,2,3,0,1,not rejected,999,99,99,over 4,1,0,1,999
127,PLMIUk19,PLM_19,Poland,4,Ukraine,1,37,3,1,1,7,2,2,2,2,2,2,2,2,1,3,0,1,rejected,999,1,1,over 36,999,1,0,1
130,PLMICh02,PLM_2,Poland,4,Russia (Chechnya),1,30,3,1,3,4,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,6,1,1,0,1
136,PLMICh11,PLM_11,Poland,4,Russia (Chechnya),0,44,7,1,3,2,2,2,2,2,2,2,2,2,1,6,0,1,not rejected,9,0,0,999,999,999,1,999
137,PLMISy23,PLM_23,Poland,1,,0,32,0,5,3,5,2,2,2,2,2,2,2,2,1,2,0,1,not rejected,6,0,99,999,999,1,1,1
138,IRAQ-M-BER2-0208,DE_40,Germany,3,,0,36,4,1,2,2,2,2,1,2,2,2,2,2,2,999,999,1,rejected,3,1,2,999,1,999,999,999
201,SWE_2,SWE_2,Sweden,1,,1,32,999,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,18,0,0,999,999,1,1,999
204,SWE_32,SWE_32,Sweden,1,,1,50,2,1,3,2,2,2,2,2,2,1,2,2,2,2,0,1,not rejected,12,0,0,999,999,999,1,999
207,SWE_29,SWE_29,Sweden,1,,1,32,2,2,2,3,2,2,2,1,2,2,2,2,2,2,0,1,not rejected,10,0,99,999,999,999,1,1
211,SWE_60,SWE_60,Sweden,2,,0,63,6,1,3,6,2,2,2,2,2,2,1,2,2,3,999,0,not rejected,24,1,2,8,1,1,1,999
215,SWE_11,SWE_11,Sweden,1,,0,41,3,1,3,3,2,2,2,2,2,2,2,2,1,1,0,0,rejected,12,1,1,12,999,1,1,1
216,SWE_9,SWE_9,Sweden,1,,0,50,2,1,3,5,2,2,2,2,2,2,2,2,1,2,0,1,not rejected,10,99,99,999,999,0,0,0
221,SWE_53,SWE_53,Sweden,2,,1,36,3,1,0,8,2,2,2,2,2,2,2,2,1,1,999,0,rejected,999,1,1,999,1,1,0,999
223,IRA-M-BER-2011,DE_41,Germany,4,Iran,0,37,999,5,3,7,2,2,2,2,2,2,2,2,1,2,0,1,not rejected,999,99,999,999,999,0,0,1
224,IRA-M-BER-0911,DE_42,Germany,3,,0,34,999,5,3,5,2,2,2,2,2,2,1,2,2,2,1,1,not rejected,6,99,999,999,1,1,999,1
229,BL-F-GOE-0702,DE_43,Germany,4,Montenegro,1,38,0,2,2,1,2,2,2,2,2,2,2,2,1,1,0,1,rejected,999,1,2,999,1,1,1,1
230,SWE_44,SWE_44,Sweden,1,,0,29,0,5,3,3,2,2,2,2,2,2,2,2,1,2,0,0,rejected,13,1,0,999,0,1,1,999
236,SWE_17,SWE_17,Sweden,1,,0,25,0,5,1,1,2,2,2,2,2,2,2,2,1,4,999,1,not rejected,3,99,99,999,1,0,0,999
237,SWE_5,SWE_5,Sweden,1,,1,28,999,5,3,5,2,2,2,2,2,2,2,2,1,2,0,1,not rejected,2,99,99,999,999,999,0,999
