ID,VAR00,VAR00,VAR01,VAR02,VAR02_1,VAR03,VAR04,VAR05,VAR06,VAR07,VAR08,VAR09_1,VAR09_2,VAR09_3,VAR09_4,VAR09_5,VAR09_6,VAR09_7,VAR09_8,VAR09_9,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35
273,CAM-W-GRO -24/11/18,DE_13,9,4,Cameroon,1,35,3,5,0,7,2,2,2,1,2,2,2,2,2,1,1,1,0,999,0,0,999,999,999,0,999
274,CAM-W-GRO-10/07,DE_14,9,4,Cameroon,1,28,2,999,999,1,2,2,2,1,2,2,2,1,2,999,999,1,1,4,1,99,999,999,999,999,999
279,OzU_3,TR_106,3,1,,0,23,999,5,3,8,2,2,2,2,2,2,2,2,1,6,0,999,999,999,99,99,999,0,0,1,999
280,OzU_4,TR_107,3,1,,1,42,5,1,1,8,2,2,2,2,2,2,2,2,1,4,0,999,999,999,99,99,999,999,999,0,999
281,OzU_5,TR_108,3,1,,1,40,6,1,1,8,1,2,2,2,2,2,2,2,2,4,0,999,999,999,99,99,999,1,1,1,1
285,OzU_9,TR_112,3,1,,1,34,1,1,3,5,2,2,2,2,2,2,2,1,2,4,0,999,999,999,99,99,999,999,999,1,999
287,OzU_11,TR_114,3,1,,1,26,2,1,3,8,2,2,2,2,2,2,2,2,1,4,0,999,999,999,99,99,999,999,999,0,999
290,OzU_14,TR_117,3,1,,0,52,11,1,2,7,2,2,2,2,2,2,2,2,1,6,0,999,999,999,99,99,999,0,999,0,999
291,OzU_15,TR_118,3,1,,0,40,3,1,2,4,2,2,2,2,2,2,2,2,1,4,999,999,999,999,99,99,999,1,999,1,1
292,OzU_16,TR_119,3,1,,0,36,3,1,2,3,2,2,2,2,2,2,2,2,1,6,999,999,999,999,99,99,999,999,999,0,999
293,OzU_17,TR_120,3,1,,0,24,0,1,3,8,2,2,2,2,2,2,2,2,1,4,999,999,999,999,99,99,999,999,999,1,999
295,OzU_19,TR_122,3,1,,0,22,0,3,3,8,2,2,2,2,2,2,2,2,1,6,999,999,999,999,99,99,999,999,999,0,999
296,OzU_20,TR_123,3,1,,0,21,999,5,2,8,2,2,2,2,2,2,2,1,2,4,999,999,999,999,99,99,999,999,999,1,999
297,"SYR-M-BER2-03/08 (SYR-M-BER2-0308, Pos. 5)",DE_15,9,1,,0,36,4,1,999,1,2,2,2,2,2,2,2,2,1,3,999,999,999,999,99,99,999,1,999,999,999
300,HUN_3,HUN_3,6,1,,0,36,999,6,3,7,2,2,2,2,2,2,2,2,1,2,0,999,999,999,99,99,999,999,1,999,999
303,HUN_6,HUN_6,6,2,,0,28,999,5,999,999,2,2,2,2,2,2,2,1,2,2,0,1,0,999,99,99,999,1,1,1,1
304,HUN_7,HUN_7,6,2,,999,48,999,5,2,999,2,2,2,2,2,2,2,2,1,4,999,1,0,8,99,99,999,999,999,1,999
305,HUN_8,HUN_8,6,2,,0,27,999,999,2,999,2,2,2,2,2,2,2,1,2,2,0,1,0,999,99,99,999,1,999,1,999
307,HUN_10,HUN_10,6,2,,0,33,999,999,3,2,2,2,2,2,2,2,2,1,2,2,999,1,0,999,99,99,999,999,999,1,1
309,"SYR- F- GOE- 07.12 (SYR- F- GOE- 07.12, Pos. 6)",DE_16,9,1,,1,35,0,1,3,5,2,2,2,2,2,2,2,2,1,1,999,1,0,999,99,99,999,1,999,999,999
310,"SYR- F- GOE- 08.12 (SYR- F- GOE- 08.12, Pos. 6)",DE_17,9,1,,1,22,0,5,3,8,2,2,2,2,2,2,2,2,1,1,999,1,0,999,99,0,999,1,999,999,1
